SAMindex,TC_mean,ln(-c_interface_mean),c_interface_mean_to1,SAM_length_gm_mean_to1,Water_bending_overlap_factor_to1,Water_stretching_overlap_factor_to1,5P1Z,6P1F,7P2Z,8P1F,9P1F,12P1Z
SAM150,168.83025,5.23782595,0.886659502,0.290246606,0.044250526,0.266510001,-4.711611742,1.499302309,-2.272391662,1.832047087,1.727757297,-2.18285252
SAM151,166.65775,5.25283178,0.884301006,0.285149236,0.118238534,0.207737438,-4.659830229,1.468543017,-2.250320504,1.807277947,1.704754455,-2.136828499
SAM152,160.97275,5.570730429,0.825039009,0.287916856,0.724051223,0.485862925,-3.651472901,1.026028889,-1.900389963,1.40237976,1.327485406,-1.989231101
SAM153,172.12175,5.575958239,0.823898374,0.30094278,0.752554192,0.478286823,-3.636327605,1.040985382,-1.907711675,1.40870698,1.334070449,-1.998671527
SAM154,75.65225,4.231644608,0.985621232,0.30175854,0.20681845,0.213370591,-8.827693988,3.635705714,-3.550793141,3.274392972,2.973015389,-3.535998021
SAM155,91.33775,4.41002029,0.974483964,0.28789085,0.211471946,0.211217796,-8.037478124,3.032965458,-3.284645116,2.998807669,2.74250056,-3.314105549
SAM156,158.6205,5.189015631,0.894090864,0.527797143,0.048150284,0.066721151,-4.882568493,1.870200316,-2.565390453,2.133997257,2.023705959,-2.518771263
SAM157,122.99425,5.113436263,0.904905436,0.402644311,0.295411234,0.265077171,-5.154754416,1.848486207,-2.5268535,2.109857964,1.989509898,-2.518866364
SAM158,157.1895,5.149344698,0.899869176,0.525048102,0.048510922,0.060288997,-5.024319644,1.926855835,-2.607986033,2.184069618,2.06861466,-2.583975354
SAM159,198.7365,5.665329313,0.803447597,0.190751879,0.562030551,0.198135934,-3.384627339,0.691008386,-1.700411004,1.182173952,1.110194128,-1.825181531
SAM160,134.9855,5.32426774,0.872574978,0.64737013,0.1014555,0.082144322,-4.418402949,1.775429291,-2.532180112,2.076611239,1.981978656,-2.486247012
SAM161,110.51525,4.692895961,0.952196046,0.531967233,0.110224009,0.303561639,-6.816397801,2.70066804,-3.159772285,2.828835685,2.63600758,-3.216779191
SAM162,89.51275,4.583274526,0.96158812,0.456845522,0.274945318,0.491027053,-7.282632771,2.848162896,-3.223933076,2.913333331,2.69719895,-3.276122551
SAM163,85.0655,4.519915565,0.966565113,0.461577941,0.285448446,0.479436491,-7.556523596,2.994648105,-3.31117251,3.0109236,2.780552215,-3.357220424
SAM164,117.6,4.985345455,0.921466611,0.249121169,0.451812246,0.108137914,-5.635882921,1.808707809,-2.522474897,2.131201761,1.991717409,-2.552518529
SAM165,86.02025,4.609125147,0.959465163,0.460260053,0.268737987,0.476645953,-7.171752343,2.7969934,-3.194124685,2.878969719,2.668485639,-3.248114421
SAM166,107.991,4.975907264,0.922605031,0.445559509,0.298680374,0.16621315,-5.672276256,2.1146146,-2.730031052,2.340704556,2.199706872,-2.762046021
SAM167,115.273,4.985099141,0.921496458,0.443987436,0.281575922,0.187206836,-5.636831116,2.098032343,-2.717631078,2.326408676,2.186885009,-2.74772734
SAM168,79.332,4.365437054,0.977456504,0.491715407,0.197694149,0.068073798,-8.234207548,3.426002015,-3.549825626,3.268207579,3.000959201,-3.57032508
SAM169,121.14075,5.075100872,0.91008619,0.372350854,0.432796839,0.149146304,-5.296191947,1.868206226,-2.540871067,2.131416321,2.005615828,-2.546868744
SAM170,115.7845,4.77958433,0.944004357,0.163256314,0.296842497,0.09252745,-6.455913712,1.947590583,-2.683642586,2.335232102,2.159586883,-2.739120878
SAM171,112.68575,5.254117929,0.884097208,0.375445729,0.145964619,0.123484812,-4.655409154,1.604220862,-2.339163723,1.895891069,1.79351723,-2.22276435
SAM172,112.84125,4.900840436,0.931286881,0.239786563,0.112352369,0.480534117,-5.966080996,1.928429294,-2.613373585,2.239675989,2.086141082,-2.658035736
SAM173,113.0645,4.99593694,0.920176222,0.375843781,0.311216603,0.081842858,-5.595191992,1.9973363,-2.636743235,2.243292241,2.105489326,-2.664462262
SAM174,118.2965,5.091459522,0.907899704,0.410846941,0.117676818,0.06388112,-5.235563858,1.892188126,-2.560426125,2.147735083,2.024290084,-2.560790492
SAM175,110.948,4.987110444,0.921252525,0.408718404,0.109478052,0.010701082,-5.629091065,2.053414384,-2.679995105,2.288358542,2.149155625,-2.709659725
SAM176,86.002,4.797241667,0.942246975,0.251980548,0.439789405,0.171225919,-6.383489787,2.132781375,-2.750751884,2.398694224,2.226409774,-2.805312253
SAM177,73.58425,4.801447086,0.941823828,0.515491779,0.328916753,0.109751739,-6.366293444,2.483143623,-3.009127668,2.656198416,2.484707365,-3.063437989
SAM178,84.21575,4.41401317,0.97421122,0.302521287,0.366406464,0.2020752,-8.019897114,3.046978821,-3.293829949,3.007563757,2.752225178,-3.324028529
SAM179,74.42025,4.328224429,0.979838131,0.308628273,0.348836071,0.229572169,-8.398917125,3.305986607,-3.4187672,3.139804335,2.863251106,-3.430750925
SAM180,110.87125,5.159303244,0.898440131,0.417506498,0.332021703,0.019200637,-4.988502303,1.797309468,-2.489037336,2.063227098,1.949092326,-2.459930882
SAM181,119.86425,5.192448041,0.893580054,0.394699465,0.333333621,0.017741741,-4.870421347,1.719814725,-2.428381438,1.996349842,1.886493308,-2.379460413
