SAMindex,EGsmlie2D,TC_mean,c_interface_mean,SAM_length_mean,Water_all_overlap_factor
SAM142,N[C@@H]1[C@H](NO)O[C@H](CO)[C@H](O)[C@@H]1O,166.467,-209.5046485,18.24906386,0.348519171
SAM143,N[C@@H]1[C@H](NO)O[C@@H](CO)[C@H](O)[C@@H]1O,161.0455,-205.1721073,18.87278868,0.345745645
SAM144,N[C@@H]1[C@H](NO)O[C@H](CO)[C@@H](O)[C@@H]1O,165.81175,-208.3875028,18.63180215,0.345739309
SAM145,N[C@H]1CC[NH2+][C@@H]1C(=O)[O-],179.67075,-340.5122805,13.06417185,0.321354293
SAM146,N[C@H]1CC[NH2+][C@H]1C(=O)[O-],177.817,-345.2523469,13.04585307,0.326067532
SAM147,N[C@H]1C[NH2+][C@@H](C(=O)[O-])C1,178.61425,-422.7786098,13.60223211,0.324619018
SAM148,N[C@H]1C[NH2+]C[C@H]1C(=O)[O-],158.3295,-293.7691412,13.11100788,0.312641305
SAM149,N[C@H]1C[NH2+]C[C@@H]1C(=O)[O-],158.43,-288.6045199,13.07088096,0.309014393
SAM150,N[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1O,168.83025,-188.2603697,14.38231487,0.309372534
SAM151,NCC(=O)CCO,166.65775,-191.106675,14.42756871,0.322805807
SAM152,NCC(=O)C[C@@H]([NH3+])C(=O)[O-],160.97275,-262.6258588,14.47136769,0.360001415
SAM153,NCC(=O)C[C@H]([NH3+])C(=O)[O-],172.12175,-264.0024118,14.50172921,0.363676996
SAM154,CNC(=O)[C@@H](N)[C@H](C)O,75.65225,-68.83033809,14.51009019,0.318500465
SAM155,CNC(=O)[C@H](N)[C@@H](C)O,91.33775,-82.27113278,14.4938568,0.322842212
SAM156,CN1CCN(C[C@@H](O)CO)CC1,158.6205,-179.2919765,17.4996881,0.271189288
SAM157,C[C@]1(C(N)=O)CNCCO1,122.99425,-166.240621,15.84306304,0.324447204
SAM158,CN1CCN(C[C@H](O)CO)CC1,157.1895,-172.3185327,17.4710276,0.275882451
SAM159,CC1(N)C(=O)NC(=O)NC1=O,198.7365,-288.6830325,13.1538609,0.343155923
SAM160,CN1[C@H]2CC(=O)C[C@@H]1[C@@H](O)[C@H]2O,134.9855,-205.2580032,19.6483923,0.288578704
SAM161,CC(=O)NCCC(=O)NCCO,110.51525,-109.1688713,17.65615505,0.311728474
SAM162,CC(=O)N[C@@H](O)[C@@H](O)NC(C)=O,89.51275,-97.83423099,16.68229929,0.333619323
SAM163,CC(=O)N[C@@H](O)[C@H](O)NC(C)=O,85.0655,-91.82784415,16.66834021,0.328944487
SAM164,CC(=O)N[C@H](C)C(N)=O,117.6,-146.2540905,13.87853331,0.339651453
SAM165,CC(=O)N[C@H](O)[C@@H](O)NC(C)=O,86.02025,-100.3962792,16.70334877,0.333370962
SAM166,CC(C)(CO)[C@H](O)C(=O)NCCO,107.991,-144.8802101,16.49460016,0.311227933
