SAMindex,True_Values,Fold1_Predictions,Fold2_Predictions,Fold3_Predictions,Fold4_Predictions,Fold5_Predictions,Fold6_Predictions,Fold7_Predictions,Fold8_Predictions,Fold9_Predictions,Fold10_Predictions
SAM069,155.9785,155.65752,156.884,149.81648,156.15324,155.53091,155.86491,156.36443,156.89906,156.15222,156.57394
SAM070,122.08875,121.3393,112.429955,121.55256,122.09711,122.30095,121.71549,121.130554,121.50731,121.705086,121.22407
SAM071,74.39125,70.70529,73.78862,73.62049,74.135666,73.567955,73.748505,74.08061,73.40156,73.33441,72.919426
SAM072,90.64,93.99791,94.158875,93.61283,92.26996,106.152725,92.654175,93.16869,94.47253,91.85373,92.86388
SAM073,85.97725,83.934586,83.78066,84.815544,84.902534,86.5784,83.61849,83.90942,83.54387,84.99584,85.049416
SAM074,109.71725,110.10919,110.72834,109.835655,109.9648,109.760704,107.91839,108.092354,104.931915,108.15111,108.85747
SAM075,64.89475,65.80077,66.214516,66.09398,65.66192,66.00463,65.71624,66.16324,64.93324,70.2043,64.54592
SAM076,77.432,77.97348,78.99702,76.97687,76.661995,78.95489,78.597664,77.899635,78.45009,78.53402,78.02142
SAM077,94.521,93.559395,93.95765,93.57371,93.87174,93.52883,92.77185,93.606834,83.92827,93.27809,93.74652
SAM078,116.328,113.979,114.70452,107.76908,115.1756,114.34416,114.99433,115.465775,114.941925,114.48472,114.49149
SAM079,105.82,104.85167,103.878296,104.99819,104.99708,106.03988,104.95965,100.76806,104.93572,105.22957,105.01301
SAM080,106.954,106.82089,109.16484,108.98431,107.91214,108.58426,108.771904,108.97549,108.70392,107.64246,123.886215
SAM081,92.53725,100.44576,93.873726,94.21882,93.43441,93.39286,93.63179,94.23886,93.76223,94.101616,93.656746
SAM082,117.593,119.11506,133.77757,116.25403,118.05336,117.938896,119.52124,116.732376,117.78694,119.32309,119.236565
SAM083,117.0365,123.413536,116.36281,118.19321,116.93116,116.8322,115.277855,117.65278,117.51719,116.638084,116.253716
SAM084,108.67025,106.80079,108.08291,106.2729,107.014755,107.63357,106.608025,105.765335,106.213524,102.9245,107.22559
SAM085,106.39825,106.85715,103.31661,106.755936,107.74862,107.91054,108.34417,107.00359,105.9112,106.22435,106.26014
SAM086,108.0285,113.08062,108.666374,109.73072,109.68951,107.584206,109.328316,110.646774,109.35708,108.853546,107.732895
SAM087,108.98075,109.20422,108.07905,108.260254,108.4019,108.78424,108.902145,107.37866,109.45493,108.78226,109.88556
SAM088,86.03725,87.25134,86.15885,86.13084,91.44958,86.98473,85.73965,85.82251,86.23193,86.63362,86.812454
SAM089,88.64425,88.2605,88.98218,88.563545,89.44095,87.919495,88.56844,88.7723,88.48361,88.5571,88.44351
SAM090,91.21325,91.51243,91.21185,91.16669,91.21742,91.48656,91.25324,90.59698,91.48412,91.30963,96.39356
