,SAMindex,TC_mean,E_pair_var,c_interface_up_mean,c_interface_dw_mean,qed,MaxAbsPartialCharge,PEOE_VSA1,TPSA,MolLogP,MolMR
234,SAM235,174.8685,44554.46264,-494.0308342,-451.5676457,0.413619877,0.548206848,20.53464179,70.59,-3.7919,30.6601
235,SAM236,163.7685,23269.84948,-167.6704789,-153.7165852,0.35215016,0.394640975,20.42610958,84.16,-2.6246,41.5242
236,SAM237,150.8895,44798.9952,-176.2880465,-152.2834609,0.394308015,0.394206989,16.15698348,75.35,-1.948,29.1279
237,SAM238,146.61725,50145.98213,-178.0050492,-152.4874714,0.394308015,0.394206989,16.15698348,75.35,-1.948,29.1279
238,SAM239,147.17925,27431.25871,-202.5887523,-191.0314094,0.412038181,0.544116483,20.53464179,70.59,-3.7903,30.6821
239,SAM240,112.7445,41780.27936,-222.1851941,-182.5267976,0.396964984,0.54386005,20.11776291,56.6,-3.7772,33.4184
240,SAM241,168.05525,42203.11672,-207.5351467,-198.7154054,0.395006518,0.318725949,5.733667477,58.36,-1.7097,28.7481
241,SAM242,102.54675,54638.90836,-148.928825,-131.2268225,0.485532299,0.394268141,15.16017895,41.49,-1.0329,29.6955
242,SAM243,158.52325,45031.24497,-225.2528686,-209.3044959,0.488079489,0.367372692,15.78731903,64.35,-1.1514,36.3991
243,SAM244,157.45275,33501.14919,-213.5905297,-207.1171998,0.488079489,0.367372692,15.78731903,64.35,-1.1514,36.3991
244,SAM245,138.41625,38564.4648,-169.854712,-136.9268712,0.35215016,0.394640975,20.42610958,84.16,-2.6246,41.5242
245,SAM246,147.5875,35707.22483,-246.5063376,-210.9356504,0.448054404,0.380722163,10.423316,73.83,-1.4045,33.1492
246,SAM247,113.01625,25412.42482,-132.6879137,-88.57831627,0.559539674,0.324372533,10.717646,89.07,-1.1237,41.4991
247,SAM248,189.02575,45818.49022,-208.9870651,-201.0074786,0.395006518,0.318725949,5.733667477,58.36,-1.7097,28.7481
248,SAM249,143.703,37366.82375,-217.5958244,-225.6266091,0.512460318,0.367888341,16.78412356,98.21,-1.0387,49.6345
249,SAM250,139.22025,53964.08972,-154.3853571,-135.0435511,0.549481383,0.395044554,10.21305479,46.94,-1.4114,47.0516
250,SAM251,78.32825,43721.80161,-112.1795707,-94.47263873,0.409724851,0.366845111,15.16017895,41.49,-1.0754,24.8285
251,SAM252,138.537,41316.49719,-240.9863422,-220.9677229,0.365366245,0.35506924,10.63357721,87.3,-1.8728,48.2411
252,SAM253,163.802,39843.8697,-194.4611392,-176.6490927,0.269949405,0.3946489,30.84942558,113.18,-3.6059,42.9037
253,SAM254,74.32625,53603.48769,-120.3018299,-104.6530454,0.496689898,0.378442264,20.68722877,62.39,-1.0962,45.0681
254,SAM255,127.93275,37306.76062,-154.9754306,-137.2008968,0.405067032,0.367980061,16.36724469,67.15,-1.9669,33.8548
255,SAM256,84.562,47101.42818,-121.8259208,-108.471106,0.496234164,0.395054253,15.16017895,41.49,-1.0329,29.6955
256,SAM257,136.585,49496.85188,-228.8631509,-217.9049542,0.405664256,0.383369814,10.05365156,67.43,-1.3625,41.4334
257,SAM258,136.219,41232.85518,-229.93206,-228.7240004,0.365366245,0.35506924,10.63357721,87.3,-1.8728,48.2411
258,SAM259,147.1855,40212.5787,-248.4517415,-217.6932978,0.518075225,0.367708273,16.45131348,123.57,-0.966,44.614
259,SAM260,161.81775,58050.12884,-196.8186392,-167.9998546,0.36847417,0.368298287,16.78412356,98.21,-1.3742,48.3115
260,SAM261,106.74475,58242.43887,-105.0752793,-84.95597551,0.571851664,0.367877011,16.0344346,100.87,-1.0578,49.0908
261,SAM262,56.32275,82804.59573,-78.30617665,-68.53237978,0.56812465,0.35912081,15.53348694,61.44,-1.1997,50.2474
262,SAM263,121.72925,49232.01516,-116.5420594,-133.7014967,0.571851664,0.367877011,16.0344346,100.87,-1.0578,49.0908
263,SAM264,88.4485,55781.25651,-114.1587601,-100.4081788,0.481746887,0.36572142,15.37044016,50.36,-1.2792,36.6764
264,SAM265,143.39175,48362.57127,-230.1675878,-217.9214002,0.399209339,0.543861074,20.95152066,82.76,-3.7432,25.6988
265,SAM266,105.022,50236.79441,-122.6002762,-109.9774163,0.422142465,0.467569415,15.78731903,64.35,-1.5399,31.8041
266,SAM267,137.77775,36907.89031,-244.9230775,-229.2530086,0.405664256,0.383369814,10.05365156,67.43,-1.3625,41.4334
267,SAM268,171.327,43747.9305,-193.1741261,-175.3607696,0.470368446,0.382523871,16.20419791,78.34,-1.5546,29.0458
268,SAM269,164.4095,46210.48474,-181.8668949,-177.1662648,0.470368446,0.382523871,16.20419791,78.34,-1.5546,29.0458
