,SAMindex,TC_mean,Peak2_frequency,E_pair_var,TotEng_var,c_interface_up_mean,c_interface_dw_mean,SAM_up_length_gm,SAM_dw_length_gm,qed,MaxAbsPartialCharge,PEOE_VSA1,TPSA,MolLogP,MolMR
80,SAM081,92.53725,43.21056705,53426.62631,251049.064,-118.3361123,-104.2818946,14.36162897,14.41597574,0.424831753,0.46680806,15.16017895,58.56,-1.5063,29.8355
81,SAM082,117.593,44.32465165,46788.87013,194870.4993,-193.1623884,-168.1110175,15.74189881,16.04480318,0.484556599,0.467767766,20.31392078,98.85,-1.9794,38.0142
82,SAM083,117.0365,44.32465165,48009.84144,218504.9574,-188.1790162,-167.0336707,15.98194562,15.90311566,0.484556599,0.467767766,20.31392078,98.85,-1.9794,38.0142
83,SAM084,108.67025,43.29014452,48552.98991,187864.6474,-146.7248991,-125.3603701,15.81786681,20.89214422,0.506973821,0.39366296,24.79330809,79.15,-1.2921,43.9334
84,SAM085,106.39825,43.36972199,44328.47709,185213.827,-149.8439789,-121.3385836,15.91061913,20.92256691,0.506973821,0.39366296,24.79330809,79.15,-1.2921,43.9334
85,SAM086,108.0285,43.36972199,37430.06345,123597.808,-153.9994089,-124.9942481,15.82865777,20.2380779,0.506973821,0.39366296,24.79330809,79.15,-1.2921,43.9334
86,SAM087,108.98075,43.44929946,50493.96724,206693.555,-148.9856318,-130.5787729,15.88890973,22.2604399,0.506973821,0.39366296,24.79330809,79.15,-1.2921,43.9334
87,SAM088,86.03725,43.29014452,54630.48864,186489.3626,-117.6201378,-98.01039665,17.06718477,17.30877117,0.578713663,0.389372374,19.6867807,75.99,-1.0839,42.9336
88,SAM089,88.64425,43.29014452,56656.11747,216193.8553,-123.5675413,-96.35205226,17.15141647,17.25772209,0.578713663,0.389372374,19.6867807,75.99,-1.0839,42.9336
89,SAM090,91.21325,42.97183463,64025.39925,241357.6019,-133.4688392,-104.198751,13.11586406,14.85968961,0.466965742,0.317733731,5.733667477,60.16,-1.0528,23.8982
90,SAM091,111.3995,43.13098958,40634.6123,179772.4026,-224.6920654,-200.6038881,16.306247,16.75301613,0.524294344,0.326172036,0.0,99.86,-1.5333,40.7932
91,SAM092,108.452,44.16549671,41582.7832,233808.1227,-162.9514187,-149.5353936,15.42821959,15.5183885,0.408757664,0.393857301,20.63637079,89.79,-1.7733,42.4001
92,SAM093,66.9665,43.44929946,89342.25459,346284.3029,-71.19252403,-60.84857447,15.29239958,15.59003585,0.472548319,0.391583874,15.52984339,69.56,-1.1358,36.3713
93,SAM094,90.41975,43.60845441,41358.15478,169370.7467,-183.6697501,-140.205735,19.65293704,21.66280107,0.409533699,0.393262129,25.16297253,90.15,-1.412,43.8302
94,SAM095,112.95075,44.24507418,53470.31067,245382.1665,-163.502032,-150.0354632,15.38235008,15.37639608,0.408757664,0.393857301,20.63637079,89.79,-1.7733,42.4001
95,SAM096,101.59725,37.4809891,45599.07549,226476.2106,-189.8467303,-194.511201,18.9423841,18.9442837,0.499556882,0.505436023,10.09050592,90.88,-0.7395,45.8252
