SAMindex,True_Values,Fold1_Predictions,Fold2_Predictions,Fold3_Predictions,Fold4_Predictions,Fold5_Predictions,Fold6_Predictions,Fold7_Predictions,Fold8_Predictions,Fold9_Predictions,Fold10_Predictions
SAM142,166.467,166.70833,166.5082,166.50252,171.65297,166.54913,166.46773,166.54599,166.42029,166.52554,166.49596
SAM143,161.0455,160.80832,160.7836,160.60135,160.94397,160.58815,137.03233,160.9766,160.91814,161.0721,160.92696
SAM144,165.81175,165.97093,165.89706,165.79576,167.6925,166.11806,165.92854,165.88074,165.79317,165.9129,165.8277
SAM145,179.67075,179.74843,179.55586,179.74355,179.5265,179.67044,179.84848,172.64484,179.6863,179.52888,179.71605
SAM146,177.817,178.12659,177.76392,177.8036,178.00235,177.85817,177.8572,177.47298,177.68387,177.76102,177.70718
SAM147,178.61425,179.55066,179.27235,178.4718,180.12083,178.82196,178.69702,178.82173,179.31325,183.58662,179.10777
SAM148,158.3295,158.39618,158.38112,160.21257,158.2772,157.73486,158.21574,158.35678,158.45609,158.28546,158.30745
SAM149,158.43,158.69293,159.02177,158.77197,158.70532,158.53806,158.82024,158.9693,158.72485,158.59059,167.42952
SAM150,168.83025,170.86346,168.98747,168.96591,168.92422,168.92453,168.92702,168.82591,168.89705,168.88135,168.80853
SAM151,166.65775,142.75092,166.75992,166.65123,166.61002,166.61273,166.61946,166.74649,166.57587,166.61537,166.64401
SAM152,160.97275,161.13629,161.18301,161.45415,161.04312,160.81534,161.14372,161.2823,173.52975,160.98706,160.8782
SAM153,172.12175,171.96454,171.8667,171.76909,172.1496,168.41107,172.07744,171.72845,172.02861,172.12798,171.9421
SAM154,75.65225,85.494995,75.82113,75.80033,75.9577,75.83857,75.96712,75.73777,76.01202,76.00782,75.998405
SAM155,91.33775,91.18488,91.22606,91.079796,91.1034,91.07306,90.94796,77.91217,91.1384,91.15671,90.8557
SAM156,158.6205,158.673,158.56256,158.81737,158.72156,158.83745,159.10051,158.70677,166.17673,158.793,158.96562
SAM157,122.99425,122.980225,122.93782,122.93343,122.97818,123.00849,122.97062,126.99516,122.97432,122.976585,122.99442
SAM158,157.1895,157.19627,148.22742,156.98053,157.08455,156.9304,156.90994,157.10104,157.19707,157.0717,156.88156
SAM159,198.7365,198.85808,198.87726,199.01624,198.84805,198.75282,198.55325,191.27884,198.6117,198.86734,198.81473
SAM160,134.9855,134.75897,134.77089,135.06902,134.97862,135.04703,134.91902,134.83621,134.96194,134.92412,129.5915
SAM161,110.51525,110.45156,110.505615,110.46408,110.507744,110.41135,110.425835,85.59915,110.438736,110.525566,110.4515
SAM162,89.51275,89.71513,89.608826,89.55901,89.51855,89.61199,89.61529,89.4238,89.56913,89.56236,89.55065
SAM163,85.0655,84.98658,94.80432,85.021484,85.00976,85.024864,85.11259,85.02495,85.03984,85.06099,85.082634
SAM164,117.6,117.61144,117.61168,117.6253,117.60085,117.64152,117.679405,121.17486,117.59458,117.68219,117.662254
SAM165,86.02025,86.06305,86.04234,86.01998,86.05002,85.95114,85.916626,86.03655,86.0342,90.04323,86.047516
SAM166,107.991,108.09853,108.131,108.01165,108.03449,111.89266,108.0112,108.120575,108.0349,107.997574,108.07602
SAM167,115.273,115.24065,115.10266,115.30453,115.26411,115.18503,115.233765,115.21778,115.25183,111.37746,115.18436
SAM168,79.332,79.36312,79.330666,79.379105,79.3236,79.37603,79.3198,79.2969,79.28896,74.08409,79.265396
SAM169,121.14075,121.1924,117.13276,121.26849,121.141205,121.16945,121.10733,121.19879,121.20666,121.22514,121.194115
SAM170,115.7845,101.651596,115.84018,115.853905,115.79059,115.79931,115.79122,115.83366,115.8296,115.827805,115.724
SAM171,112.68575,112.68762,112.68235,112.68385,112.7515,112.664314,112.69414,112.67156,112.69959,112.67405,123.71614
SAM172,112.84125,112.892525,112.88339,112.909485,112.80615,112.868744,112.812775,112.80763,114.979866,112.8089,112.81515
SAM173,113.0645,113.09223,113.130745,103.243515,113.06117,113.103775,113.104294,113.03745,113.06575,113.03845,113.08819
SAM174,118.2965,118.21322,118.26908,118.35694,118.30779,116.87383,118.29726,118.27184,118.24836,118.244835,118.292694
SAM175,110.948,98.378365,110.93188,110.90946,110.929665,110.92483,110.868256,110.98684,110.87066,110.927826,110.86304
SAM176,86.002,86.00663,85.967636,86.01578,86.09634,86.00064,86.06135,86.05863,86.04647,103.40012,86.07046
SAM177,73.58425,73.5589,73.60564,73.60524,73.65421,75.8887,73.523384,73.59224,73.64152,73.66823,73.65524
SAM178,84.21575,84.204506,84.30051,84.27639,84.259125,78.459694,84.20403,84.32204,84.28323,84.23956,84.28968
SAM179,74.42025,74.53331,76.92718,74.48524,74.46596,74.40518,74.41421,74.47741,74.43389,74.46334,74.53534
SAM180,110.87125,113.56467,110.938515,111.05235,111.007866,110.932365,110.94186,110.874405,110.99163,110.84424,110.99349
