SAMindex,EGsmlie2D,Category,kinds,UMAP1,UMAP2,TC_mean
SAM026,OC1[C@H](O)[C@H](O)C2(CO2)[C@H](O)[C@H]1O,"1Alcohol, 8Ether, 10Cyclohexane",3,8.493971,1.6060017,105.50575
SAM027,CO[C@H](C=O)O[C@H](C=O)CO,"1Alcohol, 5Ketone, 8Ether",3,4.212113,0.13013926,136.4385
SAM028,CN[C@H](C=O)[C@H](O)[C@H](O)[C@@H](O)CO,"1Alcohol, 5Ketone, 6Amine",3,6.119869,6.162403,148.081
SAM029,NC(=O)/C=C/C(=O)NO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,8.010848,2.749615,189.36725
SAM030,C[C@H](O)[C@@H](O)[C@@H](O)C=O,"1Alcohol, 5Ketone",2,1.4602064,6.5428805,148.328
SAM031,N[C@@H](C=O)C(O)C(O)C(O)C=O,"1Alcohol, 5Ketone, 6Amine",3,6.130995,3.6968148,154.28875
SAM032,C=C(CC(N)=O)[C@H]([NH3+])C(=O)[O-],"5Ketone, 6Amine, 7Amide",3,8.625182,2.3973026,185.1475
SAM033,C=CCNC(=O)C(=O)NC[C@H](C)O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,7.086968,5.983775,77.066
SAM034,COC(=O)[C@H](C=O)N(C)C=O,"3Ester, 5Ketone, 6Amine, 7Amide, 8Ether",5,5.5400314,0.5998026,118.3065
SAM035,CC(=O)N[C@@H](C=O)OCC=O,"5Ketone, 6Amine, 7Amide, 8Ether",4,2.1000032,4.6890397,123.254
SAM036,CC(=O)N[C@H](C=O)OCC=O,"5Ketone, 6Amine, 7Amide, 8Ether",4,1.3777423,6.020001,123.7795
SAM037,CC(=O)ONC(=O)C(N)=O,"5Ketone, 6Amine, 7Amide",3,8.003096,4.58938,190.9025
SAM038,C=C1NC(=O)C(=O)C1C(N)=O,"5Ketone, 6Amine, 7Amide",3,4.577284,-0.16535,198.18425
SAM039,C[C@H](O)[C@@H](O)[C@@H](O)[C@H](F)C=O,"1Alcohol, 5Ketone",2,4.197457,5.129039,128.26475
SAM040,CO[C@@H]([C@@H](O)C=O)[C@H](O)[C@H](O)CO,"1Alcohol, 5Ketone, 8Ether",3,8.565655,2.2136838,155.1605
SAM041,CO[C@@H]([C@H](O)C=O)[C@H](O)[C@H](O)CO,"1Alcohol, 5Ketone, 8Ether",3,8.695535,2.1604147,148.41975
SAM042,CO[C@@H](C=O)O[C@@H](C=O)CO,"1Alcohol, 5Ketone, 8Ether",3,1.7408811,3.5979931,154.39325
SAM043,CO[C@H](C=O)O[C@@H](C=O)CO,"1Alcohol, 5Ketone, 8Ether",3,4.146094,0.16706112,144.279
SAM044,CO[C@H]([C@@H](O)C=O)[C@H](O)[C@H](O)CO,"1Alcohol, 5Ketone, 8Ether",3,7.2786245,2.9377713,156.47425
SAM045,C[C@@H](O)[C@@H](O)[C@@H](O)CC=O,"1Alcohol, 5Ketone",2,6.211573,1.0156233,131.09375
SAM046,C[C@@H](O)[C@@H](O)[C@@H](O)C=O,"1Alcohol, 5Ketone",2,4.20806,5.8042,153.00625
SAM047,C[C@@H](O)[C@@H](O)[C@H](O)C=O,"1Alcohol, 5Ketone",2,5.506769,3.774318,148.63225
SAM048,C[C@@H](O)[C@@H](O)C=O,"1Alcohol, 5Ketone",2,3.912298,2.8220816,152.11725
SAM049,C[C@@H](O)[C@H](O)C=O,"1Alcohol, 5Ketone",2,5.435851,1.0969027,164.192
SAM050,C[C@@H](O)[C@H](O)[C@H](O)C=O,"1Alcohol, 5Ketone",2,4.317736,5.463397,152.6485
SAM051,C[C@H](O)[C@@H](O)[C@H](O)C=O,"1Alcohol, 5Ketone",2,8.511571,2.0020103,144.48675
SAM052,NC(=O)C(=O)NO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,7.3128276,4.7785845,222.5885
SAM053,NOC(=O)[C@H](O)[C@@H](O)C(=O)ON,"1Alcohol, 3Ester, 5Ketone, 6Amine",4,7.8619275,4.0033965,164.7975
SAM054,C=CCNC(=O)C(=O)NCCCO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,6.1573024,6.3075876,153.09925
SAM055,C=CCNC(=O)c1cc(=O)[nH]c(=O)[nH]1,"6Amine, 7Amide",2,6.6703916,4.3703127,167.82075
SAM056,C=C[C@@H](O)[C@@H](O)CO,1Alcohol,1,4.324077,5.3162065,143.0795
SAM057,CC(=O)NC/C(N)=N/O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,8.102147,4.120961,240.311
SAM058,CC(=O)N[C@@H](CS)C(N)=O,"5Ketone, 6Amine, 7Amide",3,8.332642,3.330332,77.07575
SAM059,OC[C@H]1O[C@H](S)[C@H](O)[C@@H](O)[C@H]1O,"1Alcohol, 8Ether",2,6.083971,1.4085361,162.82475
SAM060,CO[C@H](C=O)[C@@H](O)[C@@H](O)CO,"1Alcohol, 5Ketone, 8Ether",3,6.204609,1.0879571,163.94175
SAM061,C[C@@H](O)[C@@H](O)C[C@H](O)C=O,"1Alcohol, 5Ketone",2,7.190408,1.3936669,138.26825
SAM062,NC(=O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,7.0062947,6.0251417,142.36
SAM063,N=NC(NN)NN,6Amine,1,7.3681116,2.6568675,187.5105
SAM064,N[C@@H](C=O)[C@H](O)[C@H](O)[C@@H](O)CO,"1Alcohol, 5Ketone, 6Amine",3,7.9358745,2.9937928,158.6075
SAM065,C[C@H](O)[C@H](O)[C@@H](O)C=O,"1Alcohol, 5Ketone",2,4.374936,5.282294,141.4815
SAM066,CN(C)C(=O)N=C(N)N,"6Amine, 7Amide",2,0.78698117,4.396377,136.882
SAM067,OC[C@@H]1O[C@H](S)[C@H](O)[C@H](O)[C@H]1O,"1Alcohol, 8Ether",2,5.270368,3.117663,163.522
SAM068,CNC(N=N)NC,6Amine,1,1.5414065,5.4612823,76.511
SAM069,OC[C@H]1O[C@@H](S)[C@H](O)[C@@H](O)[C@@H]1O,"1Alcohol, 8Ether",2,6.139107,1.404603,155.9785
SAM070,COC1NCC(C=O)CN1,"5Ketone, 6Amine, 8Ether",3,1.6847003,2.7517204,122.08875
SAM071,CNC(N=N)N(C)C,6Amine,1,1.281935,5.996273,74.39125
SAM072,CCNC(=O)C(=O)NC[C@H](C)O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,7.6138544,5.0869875,90.64
SAM073,CCNC(=O)C(=O)NC[C@@H](C)O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,8.401732,3.4266672,85.97725
SAM074,C[C@@H](NC(=O)[C@@H]([NH3+])[C@@H](C)O)C(=O)[O-],"1Alcohol, 5Ketone, 6Amine, 7Amide",4,6.848613,6.384123,109.71725
SAM075,CNC(=O)C(=O)NC[C@@H](C)O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,7.2598615,5.743213,64.89475
SAM076,CNC(=O)CC(=O)NC,"5Ketone, 6Amine, 7Amide",3,0.27409884,4.8222213,77.432
SAM077,CNC(=O)NCNC(=O)NC,"6Amine, 7Amide",2,0.2862561,3.839436,94.521
SAM078,CNC(=O)[C@@H](O)[C@@H](O)C(=O)NC,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,7.826541,4.8657618,116.328
SAM079,CN[C@@H](CO)C(=O)OC,"1Alcohol, 3Ester, 5Ketone, 6Amine, 8Ether",5,5.3543067,0.17173946,105.82
SAM080,COC(=O)C(NC=O)C(=O)OC,"3Ester, 5Ketone, 6Amine, 7Amide, 8Ether",5,7.3414216,3.7582116,106.954
SAM081,COC(=O)C1(O)CNC1,"1Alcohol, 3Ester, 5Ketone, 6Amine, 8Ether",5,1.5820695,6.2213407,92.53725
SAM082,COC(=O)[C@@H](N)[C@@H](O)C(=O)OC,"1Alcohol, 3Ester, 5Ketone, 6Amine, 8Ether",5,7.042157,4.7947407,117.593
SAM083,COC(=O)[C@H](N)[C@@H](O)C(=O)OC,"1Alcohol, 3Ester, 5Ketone, 6Amine, 8Ether",5,6.511079,6.3241277,117.0365
SAM084,CO[C@H]1O[C@H](CO)[C@H](C)[C@@H](O)[C@@H]1O,"1Alcohol, 8Ether",2,4.536463,3.2306948,108.67025
SAM085,CO[C@H]1O[C@H](CO)[C@H](C)[C@@H](O)[C@H]1O,"1Alcohol, 8Ether",2,4.783124,3.1812713,106.39825
SAM086,CO[C@H]1O[C@@H](CO)[C@H](C)[C@@H](O)[C@H]1O,"1Alcohol, 8Ether",2,8.570785,1.7750791,108.0285
